date,url,user,title,hasicorp
2023-09-10T05:44:59Z,https://github.com/hashicorp/terraform/issues/33859,wilber82,Support double hop in the provisioner connection settings for winrm,N
2023-09-09T22:44:14Z,https://github.com/hashicorp/terraform/issues/33858,andrewesweet,terraform test test-case-order-dependent panic,N
2023-09-09T22:16:08Z,https://github.com/hashicorp/terraform/issues/33857,andrewesweet,terraform test expect_failures does not capture output precondition failure on apply,N
2023-09-08T10:19:12Z,https://github.com/hashicorp/terraform/issues/33847,maggie44,Support Cloudflare r2 for storing Terraform state,N
2023-09-08T04:04:53Z,https://github.com/hashicorp/terraform/issues/33845,henrynn,Rendering template with '@' not functioning,N
2023-09-07T17:17:39Z,https://github.com/hashicorp/terraform/issues/33838,gdavison,backend/s3: Add support for specifying an external credentials process directly,Y
2023-09-07T15:39:50Z,https://github.com/hashicorp/terraform/issues/33837,markusheiden,terraform providers lock should use the plugin cache,N
2023-09-07T09:43:01Z,https://github.com/hashicorp/terraform/issues/33829,ser789654,Make Terraform local provisioner wait till the docker image with spring boot application is started,N
2023-09-07T00:09:50Z,https://github.com/hashicorp/terraform/issues/33828,Justin-DynamicD,Optional Object Types broken.,N
2023-09-06T23:28:36Z,https://github.com/hashicorp/terraform/issues/33827,aviksamanta1986,Terraform Error: Error: Failed to load plugin schemas while running Terraform for azure,N
2023-09-06T20:05:51Z,https://github.com/hashicorp/terraform/issues/33826,delikvent,AzureRM backend OIDC authentication hangs during terraform init stage within Github workflow,N
2023-09-06T15:25:33Z,https://github.com/hashicorp/terraform/issues/33817,berniedurfee-renaissance,No docs for force_delete_warm_pool,N
2023-09-06T12:28:08Z,https://github.com/hashicorp/terraform/issues/33811,diegotony,[BUG]:  runtime error invalid memory address or nil pointer dereference,N
2023-09-06T12:06:37Z,https://github.com/hashicorp/terraform/issues/33810,yogesh2580,[BUG]: switch from secret rotation automatically_after to schedule_expression fails with error InvalidParameterException: You cannot specify both rotation frequency and schedule expression together.,N
2023-09-06T01:08:04Z,https://github.com/hashicorp/terraform/issues/33808,Vegas588,Discrepancy in Provider Schema Json and User Documentation,N
2023-09-05T20:53:40Z,https://github.com/hashicorp/terraform/issues/33806,lorengordon,"With the `test` command, how to handle ""known after apply""?",N
2023-09-05T17:51:26Z,https://github.com/hashicorp/terraform/issues/33803,jar-b,backend/s3: `assume_role_with_web_identity` ignores related environment variables,Y
2023-09-05T17:49:27Z,https://github.com/hashicorp/terraform/issues/33802,Storm-BE,Data source in submodule referring to resource to be created in parent module fails to plan,N
2023-09-05T12:31:36Z,https://github.com/hashicorp/terraform/issues/33799,paololazzari,A function for selecting one of a set of options (or a default) based on another value or on arbitrary predicates,N
2023-09-05T09:27:02Z,https://github.com/hashicorp/terraform/issues/33798,devjiwonchoi,"Open up GitHub Discussions, extending the discuss.hashicorp.com",N
2023-09-05T08:56:48Z,https://github.com/hashicorp/terraform/issues/33797,kfirgollan,"Export entire documentation as a single file, for easily including in a language model training set",N
2023-09-04T16:30:54Z,https://github.com/hashicorp/terraform/issues/33796,TheCloudlessSky,Terraform breaks other programs within the same console on Windows,N
2023-09-04T14:49:22Z,https://github.com/hashicorp/terraform/issues/33795,freebased,The repository 'https://apt.releases.hashicorp.com victoria Release' does not have a Release file.,N
2023-09-04T13:41:23Z,https://github.com/hashicorp/terraform/issues/33794,VolumezTech,Azure VM creation with enable_accelerated_networking on Standard_L8s_v3 - inconsistent OverconstrainedAllocationRequest error,N
2023-09-04T10:56:14Z,https://github.com/hashicorp/terraform/issues/33793,MOZGIII,Allow capturing and passing module source as a variable,N
2023-09-03T00:45:28Z,https://github.com/hashicorp/terraform/issues/33791,dss010101,changing plugin_cache_dir on windows does not stop terraform from downloading providers in the init folder,N
2023-09-02T12:50:57Z,https://github.com/hashicorp/terraform/issues/33790,jaredfholgate,Only initialize a provider if there are resources in the graph / state,N
2023-09-01T20:20:17Z,https://github.com/hashicorp/terraform/issues/33788,radditude,don't attempt to operate on configuration that may be invalid during `init`,Y
2023-09-01T19:20:16Z,https://github.com/hashicorp/terraform/issues/33787,joaocc,runtime error: invalid memory address or nil pointer dereference,N
2023-09-01T19:13:59Z,https://github.com/hashicorp/terraform/issues/33786,lorengordon,"With the `test` command, what happens to state when the destroy action fails?",N
2023-09-01T17:56:06Z,https://github.com/hashicorp/terraform/issues/33785,krlinus,S3 backend configuration page can be more clear,N
2023-09-01T15:57:28Z,https://github.com/hashicorp/terraform/issues/33784,DustinMoriarty,Provider Aliases Error Handling Creates Misleading Errors,N
2023-09-01T14:18:37Z,https://github.com/hashicorp/terraform/issues/33782,kenk667,Latest version of terraform isn't available in APT repository,N
2023-09-01T12:26:00Z,https://github.com/hashicorp/terraform/issues/33780,matt-FFFFFF,`terraform test` crash on multiple run blocks in file,N
2023-08-31T23:49:25Z,https://github.com/hashicorp/terraform/issues/33779,apparentlymart,CLI plan: Use individual-element diffs when diffing two lists of the same length,N
2023-08-30T22:40:02Z,https://github.com/hashicorp/terraform/issues/33773,msingh0101,Failed to install provider: operation not permitted - when running terraform init from within a docker container,N
2023-08-30T21:46:52Z,https://github.com/hashicorp/terraform/issues/33772,cschar,Custom Search Engine support in chrome or other modern browser,N
2023-08-30T19:33:19Z,https://github.com/hashicorp/terraform/issues/33770,evan-cleary,"State files from projects using TF >=1.5 and the `check` block cannot be loaded as remote state by TF >=1.3, <1.5 ",N
2023-08-29T21:36:01Z,https://github.com/hashicorp/terraform/issues/33767,nall1,Error: Provider produced inconsistent result after apply,N
2023-08-29T21:13:37Z,https://github.com/hashicorp/terraform/issues/33766,kenk667,GCPCKMS auto unseal via helm_release doesn't work as intended,N
2023-08-29T15:32:52Z,https://github.com/hashicorp/terraform/issues/33763,ajklotz,Why does the Changelog.txt show 1.5.6 as unreleased but shown as the stable released version in other places?,N
2023-08-29T09:20:42Z,https://github.com/hashicorp/terraform/issues/33762,pierretux,azurerm_virtual_machine_extension resource exit,N
2023-08-28T19:17:16Z,https://github.com/hashicorp/terraform/issues/33761,xyfleet,Force TLS1.2 to build the connection between terraform and AWS s3 bucket,N
2023-08-27T10:10:12Z,https://github.com/hashicorp/terraform/issues/33759,yaroslavopsguru,The terraform-provider-google-beta_v4.79.0_x5 plugin crashed! ,N
2023-08-25T16:26:49Z,https://github.com/hashicorp/terraform/issues/33757,weakcamel,Terraform crashes on an invalid object definition (duplicate attribute),N
2023-08-25T14:38:17Z,https://github.com/hashicorp/terraform/issues/33756,neilmca-inc,Terraform PLAN output options for JUNIT format,N
2023-08-25T09:26:01Z,https://github.com/hashicorp/terraform/issues/33754,ragnardevops,Terraform Crash!!!,N
2023-08-25T09:24:24Z,https://github.com/hashicorp/terraform/issues/33753,Archangelix,Terraform init does not recognise ~ symbol.,N
2023-08-25T07:58:50Z,https://github.com/hashicorp/terraform/issues/33752,rsangepucbre,Create aws alb with single listener and multiple rules,N
2023-08-25T07:44:24Z,https://github.com/hashicorp/terraform/issues/33751,ascopes,Named resource groups/namespaces,N
2023-08-25T07:30:42Z,https://github.com/hashicorp/terraform/issues/33750,ascopes,Shorthand for optional resources ,N
2023-08-24T10:08:10Z,https://github.com/hashicorp/terraform/issues/33733,fabio-s-franco,Invalid for_each argument (is empty set of string),N
2023-08-24T09:59:37Z,https://github.com/hashicorp/terraform/issues/33732,zculek-fb,Change the way of how destroy on deletion_protection enabled resources works,N
2023-08-23T18:31:28Z,https://github.com/hashicorp/terraform/issues/33728,selvaganesh-gopal,azurerm_cosmosdb_postgresql_cluster - polling after Create: unmarshalling response body,N
2023-08-23T14:23:28Z,https://github.com/hashicorp/terraform/issues/33727,medusaalb,module import using variables,N
2023-08-23T14:09:34Z,https://github.com/hashicorp/terraform/issues/33726,aaronmell,a way to initialize modules and providers while ignoring stored backend configuration,N
2023-08-23T11:10:14Z,https://github.com/hashicorp/terraform/issues/33725,megha288,not able to unlock terraform state file ,N
2023-08-22T07:18:09Z,https://github.com/hashicorp/terraform/issues/33719,AdamCoulterOz,Make cli options 'json' and 'no-color' global options,N
2023-08-21T21:47:01Z,https://github.com/hashicorp/terraform/issues/33717,sidekick-eimantas,Alternative to jsonencode without escaping,N
2023-08-21T16:27:14Z,https://github.com/hashicorp/terraform/issues/33712,kmezynski,Set custom location of '${HOME}/.terraform.d' directory for either Checkpoint client or Terraform CLI,N
2023-08-21T16:21:34Z,https://github.com/hashicorp/terraform/issues/33711,GLStephen,Terraform Should Warn if Init Will Modify a Remote Module,N
2023-08-21T10:58:54Z,https://github.com/hashicorp/terraform/issues/33709,ankushpadmawar,Feature to change default local route which comes with Route Table.,N
2023-08-21T10:39:36Z,https://github.com/hashicorp/terraform/issues/33708,moontune,Replace function cannot do single backslash,N
2023-08-21T09:16:32Z,https://github.com/hashicorp/terraform/issues/33707,teowa,new added computed field inside nested block cannot be referred during Update,N
2023-08-19T01:26:52Z,https://github.com/hashicorp/terraform/issues/33706,krlinus,I wish for more examples of jsonencode,N
2023-08-17T06:59:33Z,https://github.com/hashicorp/terraform/issues/33703,toficzak,Installation guide for Ubuntu does not work with Linux Mint - Err:13 https://apt.releases.hashicorp.com 404,N
2023-08-16T23:28:56Z,https://github.com/hashicorp/terraform/issues/33700,smokedlinq,Destroy resource in module destroys the module,N
2023-08-16T12:13:44Z,https://github.com/hashicorp/terraform/issues/33698,sahilsk,Restrict terraform plugins(providers/modules) from downloading modules from unverified sources,N
2023-08-16T07:34:23Z,https://github.com/hashicorp/terraform/issues/33694,ascopes,"Allow for ""reversible"" refactoring operations",N
2023-08-15T21:43:09Z,https://github.com/hashicorp/terraform/issues/33693,gdavison,backend/s3: Add parameter `sts_region`,Y
2023-08-15T21:40:09Z,https://github.com/hashicorp/terraform/issues/33692,gdavison,backend/s3: Supports retry mode,Y
2023-08-15T21:38:03Z,https://github.com/hashicorp/terraform/issues/33690,gdavison,backend/s3: Support overriding EC2 Metadata endpoint,Y
2023-08-15T21:04:36Z,https://github.com/hashicorp/terraform/issues/33689,gdavison,backend/s3: Add parameter `custom_ca_bundle`,Y
2023-08-15T20:56:00Z,https://github.com/hashicorp/terraform/issues/33688,gdavison,backend/s3: Add `allowed_account_ids` and `forbidden_account_ids` parameters,Y
2023-08-15T20:46:35Z,https://github.com/hashicorp/terraform/issues/33687,gdavison,backend/s3: Modernization tracking issue,Y
2023-08-15T20:43:52Z,https://github.com/hashicorp/terraform/issues/33686,gdavison,backend/s3: Allow specifying S3 Object using ARN,Y
2023-08-15T20:22:15Z,https://github.com/hashicorp/terraform/issues/33685,sknight-edgio,BSL/BUSL License,N
2023-08-15T05:26:47Z,https://github.com/hashicorp/terraform/issues/33682,diegosogari,Modules with no outputs have no exported `for_each` keys,N
2023-08-14T20:39:56Z,https://github.com/hashicorp/terraform/issues/33681,grimm26,terraform tries to destroy resource before removing it from a resource that depends on it,N
2023-08-14T10:37:56Z,https://github.com/hashicorp/terraform/issues/33680,vladimirtiukhtin,expand language around the use of `null` in various assignments,N
2023-08-14T09:54:04Z,https://github.com/hashicorp/terraform/issues/33676,liamcervante,`terraform test` crashes when referencing sensitive values in a condition,Y
2023-08-12T14:44:08Z,https://github.com/hashicorp/terraform/issues/33671,KenSpur,"Give better feedback when two ""moved"" blocks target the same resource instance address",N
2023-08-11T17:26:52Z,https://github.com/hashicorp/terraform/issues/33669,gdavison,backend/s3: Use `s3/manager` Uploader and Downloader for state file transfer,Y
2023-08-11T13:59:04Z,https://github.com/hashicorp/terraform/issues/33667,chayleaf,Repo description and some doc pages still say Terraform is open-source,N
2023-08-11T13:46:02Z,https://github.com/hashicorp/terraform/issues/33666,mateuszgalar,The 'cloudinit_config' is recreated when there are changes to unrelated resource arguments.,N
2023-08-11T05:29:55Z,https://github.com/hashicorp/terraform/issues/33664,sohanyadav,length  getting wrong count in,N
2023-08-11T04:28:08Z,https://github.com/hashicorp/terraform/issues/33663,JamesJJ,README still says MPL,N
2023-08-10T14:52:05Z,https://github.com/hashicorp/terraform/issues/33660,NYRangers30,Support Provider Differences in Modules,N
2023-08-10T13:40:39Z,https://github.com/hashicorp/terraform/issues/33659,kbcz1989,Failing to evaluate module outputs during destroy,N
2023-08-10T11:54:50Z,https://github.com/hashicorp/terraform/issues/33658,DKGreg,DevOps azuredevops_variable_group behaviour for version 1.4 onwards,N
2023-08-10T07:55:54Z,https://github.com/hashicorp/terraform/issues/33657,msartor92,Modules in Package Sub-directories space optimization,N
